,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
980,3068,Anderson Lane,Richard Heron Anderson,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.713853,-82.222381
981,922,Beauregard Drive,Pierre Gustave Toutant-Beauregard,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.700665,-82.220862
982,3069,Bragg Drive,Braxton Bragg,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.707217,-82.214607
983,3070,Breckinridge Lane,John C. Breckinridge,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.711938,-82.220905
984,3071,Confederate Drive,No specific honoree,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.700290,-82.223404
985,3072,Forrest Drive,Nathan Bedford Forrest,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.711750,-82.217343
986,3073,Hill Drive,A.P. Hill,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.705012,-82.222332
987,3074,Hood Drive,John Bell Hood,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.706333,-82.216292
988,3075,Johnson Drive,Joseph Eggleston Johnston,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.701174,-82.217911
989,3076,Lee Drive,Robert E. Lee,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.709796,-82.218491
990,3077,Pickett Drive,George Pickett,Modoc,McCormick,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.702736,-82.215937
991,970,Berkeley County Confederate Monument,No specific honoree,Moncks Corner,Berkeley,SC,South,Monument,Monument,United Daughters of the Confederacy; Sons of Confederate Veterans,2011.0,,Live,33.193617,-79.972683
992,901,Jefferson Davis Road,Jefferson Davis,Mountville,Laurens,SC,South,Highway / Roadway,Roads,Uknown,,,Live,34.360335,-81.883888
993,971,Newberry Confederate Monument,No specific honoree,Newberry,Newberry,SC,South,Monument,Monument,Uknown,1880.0,,Live,34.274167,-81.620283
994,1001,Town of North,John F. North,North,Orangeburg,SC,South,City,County/Municipality,Uknown,1891.0,,Live,33.615080,-81.103514
995,921,Beauregard Street,Pierre Gustave Toutant-Beauregard,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,33.471717,-80.857658
996,972,Confederate Flag and Monument,No specific honoree,Orangeburg,Orangeburg,SC,South,Monument,Monument,Sons of Confederate Veterans,2001.0,,Live,33.483600,-80.871950
997,973,Confederate Monument,No specific honoree,Orangeburg,Orangeburg,SC,South,Monument,Monument,Orangeburg Confederate Monument Association,1893.0,,Live,33.490200,-80.863500
998,1388,Wilcox's Alabama Brigade,Cadmus M. Wilcox,Mechanicsville,Hanover,VA,South,Monument,Monument,Sons of Confederate Veterans,1999.0,,Live,37.573000,-77.296000
999,1316,John Mosby Highway,John Singleton Mosby,Middleburg,Loudoun,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.967134,-77.742543
