Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Middletown,Middletown,Frederick County,200 West Main Street,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=418
The Stone Bridge,Centreville,Fairfax County,,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=420
Paw Paw,Paw Paw,Morgan County,,,West Virginia Archives and History,http://www.hmdb.org/m.asp?m=449
Paw Paw / Paw Paw Tunnel /The Fruit,Paw Paw,Morgan County,,,,http://www.hmdb.org/m.asp?m=450
The Battle for Fox s Gap,Zittlestown,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=454
Deaths of Two Generals,Zittlestown,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=455
The Battle of Antietam or Sharpsburg,Boonsboro,Washington County,,,the Maryland Historical Trust and the Maryland State Highway Administration,http://www.hmdb.org/m.asp?m=456
Romney / Early Memorial,Romney,Hampshire County,,,,http://www.hmdb.org/m.asp?m=463
Romney in 1861–1865 / Stonewall Jackson,Romney,Hampshire County,66 N. High Street,,West Virginia Historic Commission,http://www.hmdb.org/m.asp?m=464
The Glades Hotel,Oakland,Garrett County,,,,http://www.hmdb.org/m.asp?m=468
Fort Alice,Oakland,Garrett County,,,,http://www.hmdb.org/m.asp?m=481
Gettysburg Campaign,Oakland,Garrett County,117 East Liberty Street,,,http://www.hmdb.org/m.asp?m=484
Oakland,Oakland,Garrett County,117 East Liberty Street,,,http://www.hmdb.org/m.asp?m=485
Capture of Generals,Cumberland,Allegany County,,,,http://www.hmdb.org/m.asp?m=490
Charlottesville,North Downtown,Charlottesville,,,Civil War Trails,http://www.hmdb.org/m.asp?m=497
Manassas Gap Railroad,Fairfax,Fairfax County,4335 Shirley Gate Road,2003,The Fairfax County History Commission,http://www.hmdb.org/m.asp?m=528
Mount Gilead Historic Site,Centreville,Fairfax County,5634 Mount Gilead Road,,,http://www.hmdb.org/m.asp?m=529
Old Stone Church,Centreville,Fairfax County,13941 Braddock Road,,Civil War Trails,http://www.hmdb.org/m.asp?m=530
Centreville. Virginia,Centreville,Fairfax County,,,Trafalgar House / Residential Virginia,http://www.hmdb.org/m.asp?m=531
Lee. Longstreet and Jackson Meeting,Gainesville,Prince William County,,,Haymarket Agricultural Club,http://www.hmdb.org/m.asp?m=536
General Barnard Elliott Bee,Manassas,Prince William County,,1939,The Mary Taliaferro Thompson Southern Memorial Association of Washington. D.C.; Lucy Steele Clay. Chairman; Alice Boswell Morrison; Julia Neason Streater; Maude Bird Phares; Norma Hardy Britton,http://www.hmdb.org/m.asp?m=540
Thomas Jonathan Jackson,Manassas,Prince William County,,1940,The State of Virginia,http://www.hmdb.org/m.asp?m=541
This Rustic Pile,New Market,Shenandoah County,,1909,surviving members of Confederate Captain Charles Hugh Woodson s Company A. First Missouri Cavalry,http://www.hmdb.org/m.asp?m=544
The Battle of New Market,New Market,Shenandoah County,,,,http://www.hmdb.org/m.asp?m=551
Camp Hughes,Gosport,Owen County,,1963,the Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=552
Battle of New Market,New Market,Shenandoah County,,1966,Virginia Civil War Commission,http://www.hmdb.org/m.asp?m=553
Battle of New Market,New Market,Shenandoah County,,1929,the Conservation and Development Commission,http://www.hmdb.org/m.asp?m=554
A Genuine Relic,New Market,Shenandoah County,,,,http://www.hmdb.org/m.asp?m=557
The Old Home of William F. Rupp,New Market,Shenandoah County,,,,http://www.hmdb.org/m.asp?m=558
Brig. General Benjamin Harrison,Indianapolis,Marion County,1230 N. Delaware Street,1963,the Indiana Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=565
Battle of Cedar Creek,Middletown,Frederick County,173 Skirmisher Lane,1946,Virginia Conservation Commission,http://www.hmdb.org/m.asp?m=568
White House,Luray,Page County,,1927,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=572
End Of Sheridan s Ride,Middletown,Frederick County,,1927,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=577
Engagement Of Middletown,Middletown,Frederick County,7783 Main Street,1929,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=578
Stephens City,Stephens City,Frederick County,5071 Main Street,1988,Department of Conservation and Historic Preservation,http://www.hmdb.org/m.asp?m=580
Battle of Cedar Creek,Middletown,Frederick County,,1964,Virginia Civil War Commission,http://www.hmdb.org/m.asp?m=581
Tomb Of An Unknown Soldier,Middletown,Frederick County,,1927,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=586
Capture of Front Royal,Front Royal,Warren County,,1927,the Conservation & Development Commission,http://www.hmdb.org/m.asp?m=587
The Courthouse,Front Royal,Warren County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=588
Cavalry Engagement,Luray,Page County,,1998,Department of Historic Resources,http://www.hmdb.org/m.asp?m=591
Brigadier General Francis Stebbings Bartow,Manassas,Prince William County,,1936,the Georgia Division. United Daughters of the Confederacy and the WPA&#8212;Works Progress Administration,http://www.hmdb.org/m.asp?m=593
