Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Mount Bleak Farm,Paris,Fauquier County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=4976
The Rev. John G. Drayton,Charleston,Charleston County,3550 Ashley River Road,,National Register of Historic Places,http://www.hmdb.org/m.asp?m=4977
Maryland Heights - Mountain Fortress of Harpers Ferry,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=4982
Naval Battery,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=4985
Governor William H. H. Ross,Seaford,Sussex County,,2006,Delaware Public Archives,http://www.hmdb.org/m.asp?m=4987
Making a Mountain Citadel,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=4992
Battle of Hanover,Hanover,York County,,1954,Pennsylvania Historical and museum Commission,http://www.hmdb.org/m.asp?m=4995
The Square is Now Recaptured,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=4996
Battle of Hanover,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=4997
Hanovers Wounded,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=4999
Kilpatrick Headquarters,Hanover,York County,,1954,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5005
Civil War Campgrounds,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=5007
Exterior Fort,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=5009
Stone Fort,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=5010
Gettysburg Campaign,Hanover,York County,,1947,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5016
The Confederates Invade Pennsylvania,Hanover,York County,,,Hanover Area Historical Society,http://www.hmdb.org/m.asp?m=5020
Custer at Hanover,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=5021
Consequences on the Battle of Gettysburg,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=5022
The Winebrenner Tannery,Hanover,York County,,,,http://www.hmdb.org/m.asp?m=5025
The Daniel Trone House,Hanover,York County,233 Frederick Street,,,http://www.hmdb.org/m.asp?m=5026
Interior Fort,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=5028
Gettysburg Campaign,Hanover,York County,,1947,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5029
30-Pounder Battery,Sandy Hook,Washington County,,,,http://www.hmdb.org/m.asp?m=5032
Fort Pulaski,Tybee Island,Chatham County,,1958,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5037
German Volunteers,Tybee Island,Chatham County,,1941,,http://www.hmdb.org/m.asp?m=5050
History at Leeland Station,Leeland,Stafford County,115 Riggs Road,,Maryland Development Company LLC and the homeowners of Leeland Station,http://www.hmdb.org/m.asp?m=5062
Gettysburg Campaign,Wrightsville,York County,,,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5064
The Lincoln Oak,Colmar Manor,Prince Georges County,,,,http://www.hmdb.org/m.asp?m=5071
Burial Sites of Immortal 600,Tybee Island,Chatham County,,,National Park Service,http://www.hmdb.org/m.asp?m=5076
1861 - 1865,Wrightsville,York County,,,,http://www.hmdb.org/m.asp?m=5082
Mosby s Midnight Raid,Fairfax,Fairfax,4215 Armstrong St,1997,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5086
Battle of Averasboro,Dunn,Harnett County,,,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5091
The Sentry Box,Fredericksburg,Fredericksburg,133 Caroline Street,2008,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5095
Irish Brigade,Fredericksburg,Fredericksburg,,,,http://www.hmdb.org/m.asp?m=5097
Fort C.F. Smith,Arlington,Arlington County,2411 24th Street North,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5099
Fort C.F. Smith,Arlington,Arlington County,2411 24th Street North,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5101
Fort C.F. Smith,Arlington,Arlington County,2411 24th Street North,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5102
Fort C.F. Smith,Arlington,Arlington County,2411 24th Street North,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5103
Fort Bennett,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5104
Fort Corcoran,Arlington,Arlington County,,,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5106
Fort Haggerty,Arlington,Arlington County,22209 Wilson Boulevard,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5111
Fort Strong,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5112
Soldiers and Sailors Monument,Lancaster,Lancaster County,38 Penn Square,1874,,http://www.hmdb.org/m.asp?m=5129
Fort Woodbury,Arlington,Arlington County,,,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5138
Fort Whipple,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5140
Fort Cass,Arlington,Arlington County,,,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5141
Fort Tillinghast,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5147
Fort Craig,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5150
Fort Berry,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5154
Fort Reynolds,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5155
Fort Barnard,Arlington,Arlington County,2101 South Pollard Street,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5158
The Arlington Line,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5161
Battery Garesché,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5164
Reynolds House,Lancaster,Lancaster County,42 W. King Street,,,http://www.hmdb.org/m.asp?m=5165
The Andrews Raid,Kennesaw,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5172
William A. Fuller,Kennesaw,Cobb County,,1961,Citizens of Kennesaw (Big Shanty). Georgia,http://www.hmdb.org/m.asp?m=5175
The Depot at Beaver Dam,Beaverdam,Hanover County,,1990,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5186
Lincoln in Albany,Albany,Albany County,,2007,New York State Abraham Lincoln Bicentennial Commission and Heritage New York,http://www.hmdb.org/m.asp?m=5191
Lincoln Mourned,Albany,Albany County,,2007,New York State Abraham Lincoln Bicentennial Commission and Heritage New York,http://www.hmdb.org/m.asp?m=5192
Battle of Perryville,Perryville,Boyle County,,,Kentucky Department of Highways,http://www.hmdb.org/m.asp?m=5193
Rest well. Miss Mattie,Marietta,Cobb County,,,,http://www.hmdb.org/m.asp?m=5198
Site - Lacy Hotel,Kennesaw,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5215
Stewarts Corps at Big Shanty,Kennesaw,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5217
Federal Occupation of Big Shanty,Kennesaw,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5235
Cheatham Hill,Marietta,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5239
Soldiers  Monument,Asbury Park,Monmouth County,,1893,C.K. Hall Post No. 41 G.A.R. Dept. of N.J. & Womens Relief Corp No. 25,http://www.hmdb.org/m.asp?m=5241
Texas,Sharpsburg,Washington County,,1964,State of Texas,http://www.hmdb.org/m.asp?m=5244
Waller Hill,Quantico,Prince William County,,,,http://www.hmdb.org/m.asp?m=5246
Texas,Gettysburg,Adams County,,1964,State of Texas,http://www.hmdb.org/m.asp?m=5250
Fort Runyon,Arlington,Arlington County,,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5255
Fort Scott,Arlington,Arlington County,2800 Fort Scott Drive,1965,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5257
Fort Albany,Arlington,Arlington County,1025 South Arlington Ridge Road,,Arlington County. Virginia,http://www.hmdb.org/m.asp?m=5258
Andrew Zirkle Mill,Forestville,Shenandoah County,,2007,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5276
Woodstock,Woodstock,Shenandoah County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5277
Oakland Manor,Columbia,Howard County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=5287
Christopher C. Andrews. Conservation Pioneer,Willow River,Pine County,,1991,the Minnesota Historical Society,http://www.hmdb.org/m.asp?m=5288
Freedman s Village,Arlington,Arlington County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5293
"""Light Horse Harry"" Lee",Leesylvania State Park,Prince William County,,1976,Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=5303
105 East Oglethorpe Avenue,Savannah,Chatham County,105 East Oglethorpe Avenue,,Savannah Chapter No.2 United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=5307
Williams Ordinary,Dumfries,Prince William County,4222 Fortuna Center Plaza,,Fortuna Center Plaza Merchants,http://www.hmdb.org/m.asp?m=5368
Protecting the Supply Lines,Bolivar,Jefferson County,,,,http://www.hmdb.org/m.asp?m=5370
7th Michigan Volunteer Infantry,Fredericksburg,Fredericksburg,,2003,7th Michigan Volunteer Infantry. Co. B. Inc.,http://www.hmdb.org/m.asp?m=5374
Fredericksburg Campaign,Fredericksburg,Fredericksburg,,,United States Department of the Interior. National Park Service,http://www.hmdb.org/m.asp?m=5377
Pontoon Bridge Site,Fredericksburg,Fredericksburg,,,United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=5378
Confederate Victory,Harpers Ferry,Jefferson County,,,,http://www.hmdb.org/m.asp?m=5387
Flank Attack!,Lake Wilderness,Spotsylvania County,10925 Orange Plank Rd,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5390
Longstreet Felled,Lake Wilderness,Spotsylvania County,10925 Orange Plank Rd,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5392
The First Line of Defense: The Union Skirmish Line,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5394
A Position Strong by Nature,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5395
We Began Firing At Will: The 111th New York Regiment,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5396
A Dangerous Position,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5397
From Skirmish Line to Burial Ground,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5398
The Underground Railroad,Preston,Caroline County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=5411
Reno Monument,Middletown,Frederick County,,,Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=5412
In Memory of More Than 400 Prominent United States Colored Troops from Kent County,Chestertown,Kent County,,1999,American Legion Parker White Post 143. Chestertown. Maryland,http://www.hmdb.org/m.asp?m=5414
Beall-Dawson House,Rockville,Montgomery County,103 West Montgomery Avenue,,,http://www.hmdb.org/m.asp?m=5416
East Windsor Township Civil War Monument,Hightstown,Mercer County,,,Their Greatful Fellow Citizens,http://www.hmdb.org/m.asp?m=5431
Burying the Dead,Lake Wilderness,Spotsylvania County,10925 Orange Plank Rd,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5443
Battle of the Wilderness,Locust Grove,Orange County,34477 Constitution Highway,1929,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=5450
Gaspar Tochman,Parker,Spotsylvania County,,1992,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5456
Civil War Earthworks,Chancellorsville,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=5457
The Wilderness of Spotsylvania County,Chancellorsville,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=5458
154th New York State Volunteer Infantry,Chancellorsville,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=5460
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5463
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5465
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5467
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5468
D.H. Hills Division. Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5469
A.N.V.,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5470
Texas,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=5473
Colquitts and Garlands Brigades,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5477
Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5479
Irish Brigade,Sharpsburg,Washington County,,1997,,http://www.hmdb.org/m.asp?m=5480
Couchs Division. Fourth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5484
1st Delaware Volunteers,Sharpsburg,Washington County,,1962,Deleware Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=5485
Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5486
5th Maryland Infantry,Sharpsburg,Washington County,,1900,State of Maryland,http://www.hmdb.org/m.asp?m=5487
Abraham Lincoln,Danville,Vermilion County,,,,http://www.hmdb.org/m.asp?m=5489
Abraham Lincoln,State Line City,Warren County,,1930,Tri-County Historical Society (Warren County Historical Society),http://www.hmdb.org/m.asp?m=5490
Fourteenth Connecticut Volunteer Infantry,Sharpsburg,Washington County,,1894,State of Connecticut,http://www.hmdb.org/m.asp?m=5491
The 14th Indiana Infantry,Sharpsburg,Washington County,,1910,State of Indiana,http://www.hmdb.org/m.asp?m=5492
8th Ohio Regiment,Sharpsburg,Washington County,,1903,,http://www.hmdb.org/m.asp?m=5493
"""These Men Are Going to Stay Here""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5495
"""The End of the Confederacy Was In Sight""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5496
Brigadier General George B. Anderson,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5498
132nd Pennsylvania Volunteer Infantry,Sharpsburg,Washington County,,1904,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5499
Anderson s Division. Longstreet s Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5501
Richardsons Division. Second Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5502
Second Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5521
Second Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5539
Second Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5541
2nd Delaware,Sharpsburg,Washington County,,1964,Deleware Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=5542
Army of the Potomac,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5562
September 16. 1862,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5564
Nathan Williams,Big Pool,Washington County,,,,http://www.hmdb.org/m.asp?m=5571
Evacuation of Savannah,Savannah,Chatham County,,1957,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5574
James Moore Wayne. 1790-1867,Savannah,Chatham County,10 East Oglethorpe Avenue,1952,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5575
September 17. 1862,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5577
September 17. 1862 (Continued),Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5578
September 17. 1862 (Continued),Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5579
White & Black. Blue & Gray,Chestertown,Kent County,,,,http://www.hmdb.org/m.asp?m=5585
Nathaniel (Nace) Hopkins,Trappe,Talbot County,,,Scotts United Methodist Church. Trappe Bicentennial Committee and Talbot County Bicentennial Committee,http://www.hmdb.org/m.asp?m=5586
Army of Northern Virginia,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5587
Army of Northern Virginia,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5596
Waterford - An Old Mill Town,Waterford,Loudoun County,,,,http://www.hmdb.org/m.asp?m=5597
Fairfield Plantation,Guinea,Caroline County,,,National Park Service,http://www.hmdb.org/m.asp?m=5604
Robinson House,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=5615
In Memory of Sadie M. Likens,Denver,Denver County,,1923,Grand Army of the Republic,http://www.hmdb.org/m.asp?m=5616
The Chancellor Slaves,Chancellorsville,Spotsylvania County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5618
Bernards Cabin Trail,Artillery Ridge,Spotsylvania County,6 Lee Dr,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5619
Army of Northern Virginia,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5620
For All Anguish – For Some Freedom,Waverly Village,Spotsylvania County,4044 Plank Road,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5621
Major General Israel B. Richardson,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5623
Former Home of Henry R. Jackson,Savannah,Chatham County,,1953,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5625
Old Sorrel–Weed House,Savannah,Chatham County,6 West Harris Street,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5628
Hexamers (New Jersey) Battery,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5629
D.H. Hills Division. Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5630
D.H. Hills Division,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5631
Old Vermont Brigade,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5632
Brigadier General Stephen Elliott CSA,Beaufort,Beaufort County,,1968,Stephen Elliott United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=5638
Gen. Robert E. Lee. CSA,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5639
Headquarters Site Gen. R.E. Lee,Sharpsburg,Washington County,,1936,United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=5640
84th New York (14th Brooklyn) Volunteer Infantry,Sharpsburg,Washington County,,1915,State of New York,http://www.hmdb.org/m.asp?m=5654
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5656
Hoods Division. Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5659
Hoods Division. Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5660
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5662
Beaufort Arsenal,Beaufort,Beaufort County,713 Craven Street,1961,Beaufort County Historical Society,http://www.hmdb.org/m.asp?m=5664
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5666
Georgia Confederate Soldiers,Sharpsburg,Washington County,,1961,,http://www.hmdb.org/m.asp?m=5667
90th Pennsylvania,Sharpsburg,Washington County,,2004,,http://www.hmdb.org/m.asp?m=5671
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5685
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5688
104th New York Infantry,Sharpsburg,Washington County,,1917,State of New York,http://www.hmdb.org/m.asp?m=5691
128th Pennsylvania Volunteer Infantry,Sharpsburg,Washington County,,1905,the Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5692
137th Pennsylvania Volunteer Infantry,Sharpsburg,Washington County,,1904,the Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5693
27th Indiana Infantry,Sharpsburg,Washington County,,1910,the State of Indiana,http://www.hmdb.org/m.asp?m=5697
Ricketts Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5704
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5707
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5711
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5716
Battery B,Sharpsburg,Washington County,,1900,State of Maryland,http://www.hmdb.org/m.asp?m=5720
The Fort at Horn Point,Eastport,Anne Arundel County,,,Chesapeake Bay Gateways Network. Annapolis Maritime Museum. Four Rivers Garden Club,http://www.hmdb.org/m.asp?m=5724
General Sturgis Supreme Effort,Baldwyn,Lee County,,1957,Act of Legislature of the State of Mississippi. J.P.Coleman. Governor,http://www.hmdb.org/m.asp?m=5738
Battle of Tupelo,Tupelo,Lee County,,,State of Mississippi,http://www.hmdb.org/m.asp?m=5739
Decatur Dorsey,Ellicott City,Howard County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=5756
U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5771
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5773
First New Jersey Brigade,Sharpsburg,Washington County,,1903,State of New Jersey,http://www.hmdb.org/m.asp?m=5774
Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5776
Warren A. Candler Hospital,Savannah,Chatham County,,1964,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5781
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5786
13th New Jersey Infantry,Sharpsburg,Washington County,,1903,State of New Jersey,http://www.hmdb.org/m.asp?m=5789
Greenes Division. Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5792
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5793
"Maxcy - Rhett House / ""Secession House""",Beaufort,Beaufort County,1113 Craven Street,2005,The Gen. Richard H. Anderson Camp No. 47 Sons of Confederate Veterans,http://www.hmdb.org/m.asp?m=5803
Confederate Sharpshooter?,Gettysburg,Adams County,,,Gettysburg National Military Park,http://www.hmdb.org/m.asp?m=5809
Gettysburg Campaign,Gettysburg,Adams County,,1947,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5810
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5811
"""You Are Firing Into Our Own Men""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5812
"""Every Stalk of Corn""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5813
Gettysburg Campaign,Cashtown,Adams County,,1947,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5814
Johnny Cook,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5815
Second Regiment,Sharpsburg,Washington County,,1900,State of Vermont,http://www.hmdb.org/m.asp?m=5816
Fort Davis,Petersburg,Petersburg,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=5824
Patricks Brigade,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5826
St. Helenas Church,Beaufort,Beaufort County,501 Church Street,1992,Beaufort County Historical Society and Preservation Trust for Historic St Helenas Episcopal Church,http://www.hmdb.org/m.asp?m=5827
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5828
Battle of Averasboro,Dunn,Harnett County,,1961,Archives and Highway Departments. Confederate Centennial Commission,http://www.hmdb.org/m.asp?m=5833
Fort Caswell,Oak Island,Brunswick County,,1969,Archives and Highway Departments,http://www.hmdb.org/m.asp?m=5834
Shermans March,Dunn,Harnett County,,1940,Department of Conservation and Development,http://www.hmdb.org/m.asp?m=5835
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5839
Bentonville,Bentonville,Johnston County,,1927,The North Carolina Historic Commission & The North Carolina Division United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=5843
Merging of the Armies,Bentonville,Johnston County,,,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5844
Confederate North Carolina Junior Reserve Line,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5845
Confederate High Tide,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5847
Union Artillery at the Morris Farm,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5851
Battle of Bentonville,Bentonville,Johnston County,,1907,Department of Archives and History,http://www.hmdb.org/m.asp?m=5855
First Major Action,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5856
Sheridan Fortifications,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5863
Mower s Charge Reaches Johnston s Headquarters,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5865
Area History,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5866
The Abatis,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5872
Hardee s Counterattack,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5873
Hanover Junction,Seven Valleys,York County,,,Pennsylvania Historical and Museum Commission,http://www.hmdb.org/m.asp?m=5874
Hanover Junction Vital Crossroads,Seven Valleys,York County,,,,http://www.hmdb.org/m.asp?m=5875
Elkridge Furnace Inn,Elkridge,Howard County,5723 Furnace Ave,,,http://www.hmdb.org/m.asp?m=5876
Village of Bentonville,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5877
Infantry Positions,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5878
Gun Position #6,Harpers Ferry,Jefferson County,343 Campground Road,,,http://www.hmdb.org/m.asp?m=5879
Fighting South of the Goldsboro Road: The Bull Pen,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5881
Confederate Line Crossing the Goldsboro Road,Bentonville,Johnston County,,2005,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5882
Union Line of Battle,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5883
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5884
