Mars Weather Tweets
"InSight sol 564 (2020-06-28) low -89.3ºC (-128.8ºF) high -4.3ºC (24.2ºF)
winds from the SSW at 5.0 m/s (11.3 mph) gusting to 15.4 m/s (34.4 mph)
pressure at 7.70 hPa"
"InSight sol 563 (2020-06-27) low -89.5ºC (-129.1ºF) high -3.9ºC (25.0ºF)
winds from the SW at 5.5 m/s (12.3 mph) gusting to 18.5 m/s (41.3 mph)
pressure at 7.60 hPa"
"InSight sol 562 (2020-06-25) low -89.5ºC (-129.2ºF) high -13.3ºC (8.1ºF)
winds from the WNW at 7.0 m/s (15.6 mph) gusting to 23.0 m/s (51.4 mph)
pressure at 7.70 hPa"
"InSight sol 561 (2020-06-25) low -89.7ºC (-129.5ºF) high -2.9ºC (26.8ºF)
winds from the W at 5.7 m/s (12.8 mph) gusting to 17.8 m/s (39.8 mph)
pressure at 7.60 hPa"
"InSight sol 560 (2020-06-23) low -91.4ºC (-132.5ºF) high -11.5ºC (11.3ºF)
winds from the WNW at 6.4 m/s (14.3 mph) gusting to 19.4 m/s (43.4 mph)
pressure at 7.60 hPa"
"InSight sol 559 (2020-06-22) low -90.7ºC (-131.2ºF) high -2.8ºC (27.0ºF)
winds from the SW at 4.5 m/s (10.0 mph) gusting to 14.8 m/s (33.1 mph)
pressure at 7.60 hPa"
